@relation 'featureTesting_1-weka.filters.unsupervised.attribute.NumericToNominal-R1-4,9-weka.filters.unsupervised.attribute.NominalToString-C1-4,9'

@attribute geid string
@attribute gseason string
@attribute gweek string
@attribute htid string
@attribute hthwr numeric
@attribute htowr numeric
@attribute hthtor numeric
@attribute hthtop numeric
@attribute atid string
@attribute atawr numeric
@attribute atowr numeric
@attribute atator numeric
@attribute atatop numeric
@attribute gw {h,a}

@data
2016010300,2015,17,9,0.625,0.5,1.125,0.52184,12,0.5,0.625,1.375,0.510441,h
2016010301,2015,17,10,0.375,0.375,1.25,0.456701,11,0.625,0.75,1,0.483852,h
2016010302,2015,17,2,0.75,0.75,1.25,0.499617,1,0.25,0.3125,2,0.51248,h
2016010303,2015,17,3,0.25,0.1875,1.875,0.495057,4,0.5,0.625,2,0.495313,a
2016010304,2015,17,5,0.625,0.5625,1.125,0.525937,7,0.125,0.3125,1.875,0.446265,h
2016010305,2015,17,6,0.5,0.5,1.625,0.504048,8,0.25,0.1875,1.75,0.500733,h
2016010306,2015,17,14,0.75,0.6875,1.25,0.508785,15,0.5,0.4375,1.25,0.470556,h
2016010307,2015,17,25,0.125,0.25,2.25,0.502005,28,0.375,0.5625,1.875,0.47878,a
2016010308,2015,17,27,0.375,0.375,0.875,0.4781,26,0.5,0.4375,1.375,0.423828,a
2016010309,2015,17,17,0.125,0.375,1.625,0.508083,18,0.375,0.4375,1.375,0.48125,a
2016010310,2015,17,19,0.625,0.625,1,0.513993,20,0.625,0.6875,1.25,0.507118,a
